企业名称,组织机构代码,资质证书,发证单位
深圳市万科房地产有限公司,192275227,深房开字(2014)001号,深圳市规划和国土资源委员会
佳兆业集团（深圳）有限公司,71520163-1,深房开字(2014)002号,深圳市规划和国土资源委员会
深圳招商房地产有限公司,192441811,深房开字(2014)003号,深圳市规划和国土资源委员会
深圳市星河房地产开发有限公司,279488831,深房开字(2014)004号,深圳市规划和国土资源委员会
深圳华侨城房地产有限公司,192177782,深房开字(2014)005号,深圳市规划和国土资源委员会
深圳市绿景房地产开发有限公司,19234917-7,深房开字(2014)006号,深圳市规划和国土资源委员会
深圳市信义房地产开发有限公司,72300775-9,深房开字(2014)007号,深圳市规划和国土资源委员会
深圳市城市建设开发(集团)公司,192191162,深房开字(2014)008号,深圳市规划和国土资源委员会
深圳市振业（集团）股份有限公司,618831041,深房开字(2014)009号,深圳市规划和国土资源委员会
深圳市中航长泰投资发展有限公司,73204780-8,深房开字(2014)010号,深圳市规划和国土资源委员会
和记黄埔地产（深圳）有限公司,708408028,深房开字(2014)011号,深圳市规划和国土资源委员会
深圳机场地产有限公司,19218147-4,深房开字(2014)012号,深圳市规划和国土资源委员会
中海地产集团有限公司,618832925,深房开字(2014)013号,深圳市规划和国土资源委员会
莱蒙房地产（深圳）有限公司,72473509-6,深房开字(2014)014号,深圳市规划和国土资源委员会
深圳市中洲宝城置业有限公司,77411643-7,深房开字(2014)015号,深圳市规划和国土资源委员会
卓越置业集团有限公司,618863254,深房开字(2014)016号,深圳市规划和国土资源委员会
深圳市兰江房地产开发有限公司,192269660,深房开字(2014)017号,深圳市规划和国土资源委员会
深圳市宏发房地产开发有限公司,75250496-5,深房开字(2014)018号,深圳市规划和国土资源委员会
深圳市京基房地产股份有限公司,192303320,深房开字(2014)019号,深圳市规划和国土资源委员会
深圳市农科房地产开发有限公司,192377565,深房开字(2014)020号,深圳市规划和国土资源委员会
深业南方地产（集团）有限公司,61884577-7,深房开字(2014)021号,深圳市规划和国土资源委员会
深圳和记黄埔龙岗地产有限公司,771630609,深房开字(2014)022号,深圳市规划和国土资源委员会
金地（集团）股份有限公司,19218163C,深房开字(2014)023号,深圳市规划和国土资源委员会
深圳市卓弘房地产开发有限公司,66850268-4,深房开字(2014)024号,深圳市规划和国土资源委员会
深圳市合正房地产集团有限公司,279286949,深房开字(2014)025号,深圳市规划和国土资源委员会
深圳中信航城房地产有限公司,68036525-6,深房开字(2014)026号,深圳市规划和国土资源委员会
深圳市信贤房地产开发有限公司,68759988-0,深房开字(2014)027号,深圳市规划和国土资源委员会
深圳市恒丰浩森房地产有限公司,79385170-1,深房开字(2014)028号,深圳市规划和国土资源委员会
深圳市锦绣江南投资有限公司,27953648-5,深房开字(2014)029号,深圳市规划和国土资源委员会
深圳市广兴源投资发展有限公司,75804800-3,深房开字(2014)030号,深圳市规划和国土资源委员会
深圳招商华侨城投资有限公司,76915231X,深房开字(2014)031号,深圳市规划和国土资源委员会
深圳市雅豪园投资有限公司,72304839-0,深房开字(2014)032号,深圳市规划和国土资源委员会
深圳市新世界房地产开发有限公司,279380118,深房开字(2014)033号,深圳市规划和国土资源委员会
华南国际工业原料城（深圳）有限公司,74324708-X,深房开字(2014)034号,深圳市规划和国土资源委员会
深圳市联路投资管理有限公司,73208994-4,深房开字(2014)035号,深圳市规划和国土资源委员会
深圳市勤诚达集团有限公司,27930883-7,深房开字(2014)036号,深圳市规划和国土资源委员会
深圳市蛇口湾厦实业股份有限公司,192442195,深房开字(2014)037号,深圳市规划和国土资源委员会
深圳市富通房地产集团有限公司,192485881,深房开字(2014)038号,深圳市规划和国土资源委员会
深圳市天健房地产开发实业有限公司,19219788X,深房开字(2014)039号,深圳市规划和国土资源委员会
深圳市新天时代投资有限公司,75250406-8,深房开字(2014)040号,深圳市规划和国土资源委员会
深圳市金龙房地产开发有限公司,192379157,深房开字(2014)041号,深圳市规划和国土资源委员会
深业泰然（集团）股份有限公司,192171866,深房开字(2014)042号,深圳市规划和国土资源委员会
深圳市西城雅筑置业有限公司,55389380-6,深房开字(2014)043号,深圳市规划和国土资源委员会
深圳市广业成投资发展有限公司,708458682,深房开字(2014)044号,深圳市规划和国土资源委员会
深圳市万科滨海房地产有限公司,56850121-1,深房开字(2014)045号,深圳市规划和国土资源委员会
深圳市榕江实业有限公司,192295754,深房开字(2014)046号,深圳市规划和国土资源委员会
深圳和记黄埔中航地产有限公司,757606047,深房开字(2014)047号,深圳市规划和国土资源委员会
深圳市投资控股有限公司,76756642-1,深房开字(2014)048号,深圳市规划和国土资源委员会
中粮地产（集团）股份有限公司,19224718-9,深房开字(2014)049号,深圳市规划和国土资源委员会
深圳市特发集团有限公司,19219419-5,深房开字(2014)050号,深圳市规划和国土资源委员会
深圳市鼎宏投资发展有限公司,75252806-X,深房开字(2014)051号,深圳市规划和国土资源委员会
